image,x,y,r,g,b
fr,5,6,255,255,255
fr,5,7,255,255,255
fr,5,8,255,255,255
fr,5,9,255,255,255
fr,5,10,255,255,255
fr,6,1,255,255,255
fr,6,2,255,255,255
fr,6,3,255,255,255
fr,6,4,255,255,255
fr,6,5,255,255,255
fr,6,6,255,255,255
fr,6,7,255,255,255
fr,6,8,255,255,255
fr,6,9,255,255,255
fr,6,10,255,255,255
fr,7,1,255,255,255
fr,7,2,255,255,255
fr,7,3,255,255,255
fr,7,4,255,255,255
fr,7,5,255,255,255
fr,7,6,255,255,255
fr,7,7,255,255,255
fr,7,8,255,255,255
fr,7,9,255,255,255
fr,7,10,255,255,255
fr,8,1,237,41,57
fr,8,2,237,41,57
fr,8,3,237,41,57
fr,8,4,237,41,57
fr,8,5,237,41,57
fr,8,6,237,41,57
fr,8,7,237,41,57
fr,8,8,237,41,57
fr,8,9,237,41,57
fr,8,10,237,41,57
fr,9,1,237,41,57
fr,9,2,237,41,57
fr,9,3,237,41,57
fr,9,4,237,41,57
fr,9,5,237,41,57
fr,9,6,237,41,57
fr,9,7,237,41,57
fr,9,8,237,41,57
fr,9,9,237,41,57
fr,9,10,237,41,57
fr,10,1,237,41,57
fr,10,2,237,41,57
fr,10,3,237,41,57
fr,10,4,237,41,57
fr,10,5,237,41,57
fr,10,6,237,41,57
fr,10,7,237,41,57
fr,10,8,237,41,57
fr,10,9,237,41,57
fr,10,10,237,41,57
hr,1,1,255,0,0
hr,1,2,255,0,0
hr,1,3,255,0,0
hr,1,4,255,255,255
hr,1,5,255,255,255
hr,1,6,255,255,255
hr,1,7,255,255,255
hr,1,8,23,23,150
hr,1,9,23,23,150
hr,1,10,23,23,150
hr,2,1,255,0,0
hr,2,2,255,0,0
hr,2,3,255,0,0
hr,2,4,255,255,255
hr,2,5,255,255,255
hr,2,6,255,255,255
hr,2,7,255,255,255
hr,2,8,23,23,150
hr,2,9,23,23,150
hr,2,10,23,23,150
hr,3,1,255,0,0
hr,3,2,255,0,0
hr,3,3,255,0,0
hr,3,4,255,255,255
hr,3,5,255,255,255
hr,3,6,255,255,255
hr,3,7,255,255,255
hr,3,8,23,23,150
hr,3,9,23,23,150
hr,3,10,23,23,150
hr,4,1,255,0,0
hr,4,2,255,0,0
hr,4,3,255,0,0
hr,4,4,255,255,255
hr,4,5,255,255,255
hr,4,6,255,255,255
hr,4,7,255,255,255
hr,4,8,23,23,150
hr,4,9,23,23,150
hr,4,10,23,23,150
hr,5,1,255,0,0
hr,5,2,140,140,202
hr,5,3,255,0,0
hr,5,4,255,255,255
hr,5,5,255,0,0
hr,5,6,255,255,255
hr,5,7,255,0,0
hr,5,8,23,23,150
hr,5,9,23,23,150
hr,5,10,23,23,150
hr,6,1,255,0,0
hr,6,2,229,182,195
hr,6,3,228,202,19
hr,6,4,255,255,255
hr,6,5,255,0,0
hr,6,6,255,255,255
hr,6,7,255,0,0
hr,6,8,23,23,150
hr,6,9,23,23,150
hr,6,10,23,23,150
hr,7,1,255,0,0
hr,7,2,255,0,0
hr,7,3,255,0,0
hr,7,4,255,255,255
hr,7,5,255,255,255
hr,7,6,255,255,255
hr,7,7,255,255,255
hr,7,8,23,23,150
hr,7,9,23,23,150
hr,7,10,23,23,150
hr,8,1,255,0,0
hr,8,2,255,0,0
hr,8,3,255,0,0
hr,8,4,255,255,255
hr,8,5,255,255,255
hr,8,6,255,255,255
hr,8,7,255,255,255
hr,8,8,23,23,150
hr,8,9,23,23,150
hr,8,10,23,23,150
hr,9,1,255,0,0
hr,9,2,255,0,0
hr,9,3,255,0,0
hr,9,4,255,255,255
hr,9,5,255,255,255
hr,9,6,255,255,255
hr,9,7,255,255,255
hr,9,8,23,23,150
hr,9,9,23,23,150
hr,9,10,23,23,150
hr,10,1,255,0,0
hr,10,2,255,0,0
hr,10,3,255,0,0
hr,10,4,255,255,255
hr,10,5,255,255,255
hr,10,6,255,255,255
hr,10,7,255,255,255
hr,10,8,23,23,150
hr,10,9,23,23,150
hr,10,10,23,23,150
ir,1,1,35,159,64
ir,1,2,35,159,64
ir,1,3,35,159,64
ir,1,4,255,255,255
ir,1,5,255,255,255
ir,1,6,255,255,255
ir,1,7,255,255,255
ir,1,8,218,0,0
ir,1,9,218,0,0
ir,1,10,218,0,0
ir,2,1,35,159,64
ir,2,2,35,159,64
ir,2,3,35,159,64
ir,2,4,255,255,255
ir,2,5,255,255,255
ir,2,6,255,255,255
ir,2,7,255,255,255
ir,2,8,218,0,0
ir,2,9,218,0,0
ir,2,10,218,0,0
ir,3,1,35,159,64
ir,3,2,35,159,64
ir,3,3,35,159,64
ir,3,4,255,255,255
ir,3,5,255,255,255
ir,3,6,255,255,255
ir,3,7,255,255,255
ir,3,8,218,0,0
ir,3,9,218,0,0
ir,3,10,218,0,0
ir,4,1,35,159,64
ir,4,2,35,159,64
ir,4,3,35,159,64
ir,4,4,255,255,255
ir,4,5,255,255,255
ir,4,6,255,255,255
ir,4,7,255,255,255
ir,4,8,218,0,0
ir,4,9,218,0,0
ir,4,10,218,0,0
ir,5,1,35,159,64
ir,5,2,35,159,64
ir,5,3,35,159,64
ir,5,4,255,255,255
